Never,Confident,Moderate,Always,Supported,Neutral,2025-06-04T08:04:16.982Z
Rarely,Confident,Moderate,Never,Not at all,Well,2025-06-04T08:47:43.710Z
Never,Very Confident,Not at all,Occasionally,Very supported,Very well,2025-06-04T09:29:09.769Z
Never,Very Confident,Not at all,Occasionally,Very supported,Very well,2025-06-04T09:29:16.936Z
Rarely,Confident,A little,Occasionally,Supported,Well,2025-06-04T09:29:42.411Z
Rarely,Confident,A little,Occasionally,Supported,Well,2025-06-04T09:29:51.500Z
Sometimes,Neutral,Moderate,Sometimes,Neutral,Neutral,2025-06-04T09:30:37.022Z
Often,Anxious,Quite a bit,Frequently,Unsure,Poorly,2025-06-04T09:31:08.218Z
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-04T09:31:33.692Z
Rarely,Neutral,Quite a bit,Frequently,Not at all,Very well,2025-06-04T09:32:21.659Z
Never,Very Anxious,Moderate,Frequently,Supported,Very poorly,2025-06-04T09:32:56.258Z
Never,Very Anxious,Moderate,Frequently,Supported,Neutral,2025-06-04T09:33:02.979Z
Always,Anxious,Extremely,Occasionally,Very supported,Poorly,2025-06-04T09:33:34.316Z
Sometimes,Very Anxious,Moderate,Never,Neutral,Poorly,2025-06-04T09:34:28.231Z
Never,Very Anxious,A little,Sometimes,Unsure,Neutral,2025-06-04T09:35:06.789Z
Rarely,Very Anxious,Not at all,Sometimes,Not at all,Very well,2025-06-04T09:36:11.894Z
Sometimes,Neutral,A little,Occasionally,Unsure,Well,2025-06-04T09:37:33.013Z
Always,Very Confident,Quite a bit,Never,Very supported,Well,2025-06-04T09:38:34.169Z
Often,Anxious,Moderate,Occasionally,Very supported,Very poorly,2025-06-04T09:39:21.367Z
Often,Confident,Quite a bit,Never,Unsure,Very poorly,2025-06-04T09:40:05.447Z
Rarely,Very Anxious,Not at all,Always,Supported,Well,2025-06-04T09:42:26.676Z
Never,Anxious,Moderate,Occasionally,Supported,Neutral,2025-06-04T09:43:17.596Z
Never,Anxious,Moderate,Occasionally,Supported,Neutral,2025-06-04T09:43:22.628Z
Always,Very Confident,A little,Never,Not at all,Neutral,2025-06-04T09:44:27.354Z
Rarely,Confident,Quite a bit,Always,Unsure,Poorly,2025-06-04T09:45:05.365Z
Rarely,Confident,Quite a bit,Always,Unsure,Poorly,2025-06-04T09:45:45.009Z
Often,Very Anxious,A little,Frequently,Unsure,Neutral,2025-06-04T09:47:10.225Z
