Q1,Q2,Q3,Q4,Q5,Q6,Timestamp
Yes,Never,Not at all,Yes,Yes,Very hopeful,2025-06-08 10:00:00
No,Always,Severely,No,No,Not hopeful,2025-06-08 10:05:00
Yes,Often,Moderately,Occasionally,Somewhat,Neutral,2025-06-08 10:10:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 10:15:00
Yes,Always,Severely,No,No,Not hopeful,2025-06-08 10:20:00
No,Never,Not at all,Yes,Somewhat,Very hopeful,2025-06-08 10:25:00
Yes,Often,Moderately,Occasionally,No,Neutral,2025-06-08 10:30:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 10:35:00
Yes,Never,Not at all,Yes,Yes,Very hopeful,2025-06-08 10:40:00
No,Always,Severely,No,No,Not hopeful,2025-06-08 10:45:00
Yes,Often,Moderately,Occasionally,Somewhat,Neutral,2025-06-08 10:50:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 10:55:00
Yes,Always,Severely,No,No,Not hopeful,2025-06-08 11:00:00
No,Never,Not at all,Yes,Somewhat,Very hopeful,2025-06-08 11:05:00
Yes,Often,Moderately,Occasionally,No,Neutral,2025-06-08 11:10:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 11:15:00
Yes,Never,Not at all,Yes,Yes,Very hopeful,2025-06-08 11:20:00
No,Always,Severely,No,No,Not hopeful,2025-06-08 11:25:00
Yes,Often,Moderately,Occasionally,Somewhat,Neutral,2025-06-08 11:30:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 11:35:00
Yes,Always,Severely,No,No,Not hopeful,2025-06-08 11:40:00
No,Never,Not at all,Yes,Somewhat,Very hopeful,2025-06-08 11:45:00
Yes,Often,Moderately,Occasionally,No,Neutral,2025-06-08 11:50:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 11:55:00
Yes,Never,Not at all,Yes,Yes,Very hopeful,2025-06-08 12:00:00
No,Always,Severely,No,No,Not hopeful,2025-06-08 12:05:00
Yes,Often,Moderately,Occasionally,Somewhat,Neutral,2025-06-08 12:10:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 12:15:00
Yes,Always,Severely,No,No,Not hopeful,2025-06-08 12:20:00
No,Never,Not at all,Yes,Somewhat,Very hopeful,2025-06-08 12:25:00
Yes,Often,Moderately,Occasionally,No,Neutral,2025-06-08 12:30:00
