Q1,Q2,Q3,Q4,Q5,Q6,Recommendation,RecIcon,Effect,EffectIcon
Always,Prefer not to say,Almost daily,Always,Extremely,Maybe,"Reach out to a trusted friend or support group for help.","🤝","Social support can reduce feelings of isolation.","💬"
*,No,Frequently,*,Significantly,No,"Practice a creative hobby like drawing, music, or writing.","🎨","Creative activities can help process emotions and relieve stress.","🖌️"
Rarely,Yes,Never,No,Not at all,Yes,"Keep up your positive habits and encourage others to do the same.","🌟","Positive routines help maintain low stress.","🌈"
*,*,*,Always,*,*,"Take a break from technology and spend time outdoors.","🌳","Nature and fresh air can boost your mood.","☀️"
*,*,*,*,Yes,Yes,"Volunteer or help someone in need to shift your focus.","🤲","Helping others can increase your own sense of purpose.","💡"
Sometimes,No,Occasionally,Often,A little,No,"Try journaling your thoughts and feelings each day.","📓","Journaling can help you process and manage stress.","📝"
Often,*,Frequently,*,*,*,"Set small, achievable goals and celebrate your progress.","🏅","Small wins build confidence and motivation.","😊"
*,*,*,*,*,*,"Practice mindfulness or meditation for a few minutes daily.","🧘","Mindfulness can help you stay grounded and calm.","🕊️"
*,*,*,*,*,*,"Limit news and social media consumption if it increases your stress.","📵","Reducing exposure to negativity can improve your outlook.","🌞"
*,*,*,*,*,*,"Ask for professional help if stress feels unmanageable.","🧑‍⚕️","Professional support can provide new coping tools.","🛠️"
*,*,*,*,*,*,"Reflect on your strengths and past successes during tough times.","💪","Remembering your strengths can boost resilience.","🦋"
*,*,*,*,*,*,"Create a daily routine to add structure to your day.","📅","Routine can provide stability and reduce anxiety.","🧭"
*,*,*,*,*,*,"Express gratitude by noting three good things each day.","🙏","Gratitude can improve your mood and perspective.","🌞"
*,*,*,*,*,*,"Try a new activity or learn a new skill to shift your focus.","🧩","Learning can provide a sense of accomplishment.","🎓"
*,*,*,*,*,*,"If you feel unsafe, contact a trusted adult or helpline immediately.","🚨","Your safety is the top priority.","❗"
