Q1,Q2,Q3,Q4,Q5,Q6,Timestamp
Never,Yes,Never,No,Not at all,Yes,2025-06-08 09:00:00
Sometimes,No,Occasionally,Yes,A little,No,2025-06-08 09:05:00
Often,Prefer not to say,Frequently,Always,Significantly,Maybe,2025-06-08 09:10:00
Always,Yes,Almost daily,No,Extremely,Yes,2025-06-08 09:15:00
Never,No,Never,No,Not at all,No,2025-06-08 09:20:00
Sometimes,Yes,Occasionally,Yes,A little,Maybe,2025-06-08 09:25:00
Often,No,Frequently,Always,Significantly,Yes,2025-06-08 09:30:00
Always,Prefer not to say,Almost daily,No,Extremely,No,2025-06-08 09:35:00
Never,Yes,Never,Yes,Not at all,Maybe,2025-06-08 09:40:00
Sometimes,No,Occasionally,No,A little,Yes,2025-06-08 09:45:00
Often,Yes,Frequently,Always,Significantly,No,2025-06-08 09:50:00
Always,No,Almost daily,Yes,Extremely,Maybe,2025-06-08 09:55:00
Never,Prefer not to say,Never,No,Not at all,Yes,2025-06-08 10:00:00
Sometimes,Yes,Occasionally,Yes,A little,No,2025-06-08 10:05:00
Often,No,Frequently,Always,Significantly,Maybe,2025-06-08 10:10:00
Always,Yes,Almost daily,No,Extremely,Yes,2025-06-08 10:15:00
Never,No,Never,Yes,Not at all,No,2025-06-08 10:20:00
Sometimes,Prefer not to say,Occasionally,No,A little,Maybe,2025-06-08 10:25:00
Often,Yes,Frequently,Always,Significantly,Yes,2025-06-08 10:30:00
Always,No,Almost daily,No,Extremely,No,2025-06-08 10:35:00
Never,Yes,Never,Yes,Not at all,Maybe,2025-06-08 10:40:00
Sometimes,No,Occasionally,No,A little,Yes,2025-06-08 10:45:00
Often,Yes,Frequently,Always,Significantly,No,2025-06-08 10:50:00
Always,Prefer not to say,Almost daily,Yes,Extremely,Maybe,2025-06-08 10:55:00
Never,Yes,Never,No,Not at all,Yes,2025-06-08 11:00:00
Sometimes,No,Occasionally,Yes,A little,No,2025-06-08 11:05:00
Often,Yes,Frequently,No,Significantly,Maybe,2025-06-08 11:10:00
Always,No,Almost daily,Yes,Extremely,Yes,2025-06-08 11:15:00
Never,Prefer not to say,Never,No,Not at all,No,2025-06-08 11:20:00
Sometimes,Yes,Occasionally,Yes,A little,Maybe,2025-06-08 11:25:00
Often,No,Frequently,Always,Significantly,Yes,2025-06-08 11:30:00
Always,Yes,Almost daily,No,Extremely,No,2025-06-08 11:35:00
Never,No,Never,Yes,Not at all,Maybe,2025-06-08 11:40:00
Sometimes,Prefer not to say,Occasionally,No,A little,Yes,2025-06-08 11:45:00
Often,Yes,Frequently,Always,Significantly,No,2025-06-08 11:50:00
Always,No,Almost daily,Yes,Extremely,Maybe,2025-06-08 11:55:00
Never,Yes,Never,No,Not at all,Yes,2025-06-08 12:00:00
Sometimes,No,Occasionally,Yes,A little,No,2025-06-08 12:05:00
Often,Yes,Frequently,No,Significantly,Maybe,2025-06-08 12:10:00
Always,Prefer not to say,Almost daily,Yes,Extremely,Yes,2025-06-08 12:15:00
Never,No,Never,No,Not at all,No,2025-06-08 12:20:00
Sometimes,Yes,Occasionally,Yes,A little,Maybe,2025-06-08 12:25:00
Often,No,Frequently,Always,Significantly,Yes,2025-06-08 12:30:00
Always,Yes,Almost daily,No,Extremely,No,2025-06-08 12:35:00
Never,Prefer not to say,Never,Yes,Not at all,Maybe,2025-06-08 12:40:00
Sometimes,No,Occasionally,No,A little,Yes,2025-06-08 12:45:00
Often,Yes,Frequently,Always,Significantly,No,2025-06-08 12:50:00
