Q1,Q2,Q3,Q4,Q5,Q6,Recommendation,RecIcon,Effect,EffectIcon
Always,Overwhelmed,High,Always,No,Very poorly,"Set clear boundaries for work hours and communicate them to your team.","⏰","Boundaries help prevent burnout and improve work-life balance.","⚖️"
*,Often,Moderate,*,No,*,"Take short breaks every hour to stretch or walk.","🚶","Regular breaks reduce fatigue and boost productivity.","💪"
Rarely,Confident,Low,Occasionally,Yes,Well,"Keep up your positive habits and support colleagues when possible.","🤝","Positive routines help maintain low stress.","🌈"
*,*,*,Frequently,*,* ,"Use a task list or planner to organize your daily work.","📋","Staying organized reduces stress and missed deadlines.","🗂️"
*,*,*,*,Supported,Well,"Maintain your support network and offer help to coworkers.","🤗","Helping others can boost your own morale.","💡"
Sometimes,Neutral,Moderate,Sometimes,Neutral,Neutral,"Practice deep breathing or mindfulness for 5 minutes during breaks.","🧘","Mindfulness can help manage moderate stress.","🕊️"
Often,*,High,*,*,*,"Delegate tasks when possible and ask for help if needed.","🙋‍♂️","Delegation prevents overload and builds teamwork.","🤝"
*,*,*,*,*,* ,"Reflect on your achievements at the end of each week.","🎉","Recognizing progress boosts motivation.","🌟"
*,*,*,*,*,* ,"Limit multitasking and focus on one task at a time.","🎯","Single-tasking improves efficiency and reduces errors.","✅"
*,*,*,*,*,* ,"Set realistic goals for each day and celebrate small wins.","🏅","Small wins build confidence and reduce stress.","😊"
*,*,*,*,*,* ,"Communicate openly with your manager about workload concerns.","💬","Open communication can lead to better support.","📢"
*,*,*,*,*,* ,"Keep your workspace tidy to help you focus.","🧹","A clean space can reduce distractions and stress.","🧠"
*,*,*,*,*,* ,"Schedule time for self-care activities after work.","🛀","Self-care helps you recharge and maintain well-being.","🌞"
*,*,*,*,*,* ,"Practice gratitude by noting three positive things about your workday.","🙏","Gratitude can improve your outlook and job satisfaction.","🌞"
*,*,*,*,*,* ,"Try gentle stretching or movement during long meetings.","🤸","Movement can reduce stiffness and improve mood.","💪"
*,*,*,*,*,* ,"Prepare a to-do list for the next day before leaving work.","📝","Planning ahead reduces morning stress.","🌅"
*,*,*,*,*,* ,"Ask for feedback to improve your performance and reduce uncertainty.","🔍","Feedback helps you grow and feel more secure.","📈"
*,*,*,*,*,* ,"Take a few minutes to connect with a coworker each day.","👥","Social support at work can buffer stress.","🤗"
*,*,*,*,*,* ,"Limit caffeine intake in the afternoon to improve sleep quality.","☕","Better sleep supports work performance.","🌙"
*,*,*,*,*,* ,"Visualize positive outcomes for challenging tasks.","🌈","Positive thinking can boost confidence and reduce anxiety.","🦋"
*,*,*,*,*,* ,"Break large projects into smaller, manageable steps.","🪜","Small steps make big projects less overwhelming.","🧩"
*,*,*,*,*,* ,"Keep emergency contacts easily accessible at work.","📱","Quick access can be crucial in urgent situations.","🚨"
