Q1,Q2,Q3,Q4,Q5,Q6,Recommendation,RecIcon,Effect,EffectIcon
Yes,*,*,*,*,*,"Consult a healthcare professional for a personalized treatment plan.","👩‍⚕️","Ignoring symptoms can worsen your condition.","⚠️"
*,Always,Severely,*,*,*,"Seek immediate medical attention and inform your support network.","🚨","Severe and persistent symptoms require urgent care.","🚑"
*,*,*,No,*,*,"Reach out to friends or family for emotional support.","🤝","Lack of support can increase feelings of isolation.","😔"
*,*,*,*,No,*,"Join a support group to connect with others facing similar challenges.","👥","Feeling alone can impact your recovery.","💬"
*,*,*,*,*,Not hopeful,"Practice self-compassion and consider counseling for mental health.","🧠","Negative outlook can slow down recovery.","😟"
Yes,*,Moderately,*,*,*,"Maintain a healthy routine and track your symptoms daily.","📅","Routine helps manage moderate symptoms.","📈"
*,*,Slightly,*,*,*,"Engage in light physical activity if approved by your doctor.","🚶","Mild symptoms can improve with gentle exercise.","💪"
*,*,*,*,*,Very hopeful,"Continue your positive habits and inspire others.","🌟","Optimism supports faster healing.","😊"
*,*,*,Occasionally,*,*,"Schedule regular check-ups to monitor your progress.","📋","Occasional treatment may not be enough for chronic issues.","🔄"
*,*,*,*,Somewhat,*,"Communicate your needs clearly to those around you.","🗣️","Misunderstandings can lead to frustration.","😕"
*,*,*,*,*,Neutral,"Practice mindfulness and stress reduction techniques.","🧘","Neutral feelings can be improved with relaxation.","🌿"
No,Never,Not at all,Yes,Yes,Very hopeful,"Keep up your healthy lifestyle and support others when possible.","🏆","You are managing your health well!","🌞"
*,*,*,*,*,* ,"If symptoms persist, consult your doctor and avoid self-medication.","🏥","Proper diagnosis is key to effective treatment.","🔬"
*,*,*,*,*,* ,"Set a daily reminder to take your medication on time.","⏰","Consistency helps prevent complications.","✅"
*,*,*,*,*,* ,"Keep a health journal to track symptoms, triggers, and improvements.","📓","Tracking helps you and your doctor spot patterns.","📊"
*,*,*,*,*,* ,"Ask your doctor about possible side effects and how to manage them.","💬","Being informed reduces anxiety about treatment.","🧑‍⚕️"
*,*,*,*,*,* ,"Organize your medical documents for easy access during appointments.","🗂️","Preparation leads to more productive visits.","📁"
*,*,*,*,*,* ,"Practice deep breathing or progressive muscle relaxation daily.","🌬️","Relaxation techniques can reduce stress and pain.","🧘"
*,*,*,*,*,* ,"Plan enjoyable activities to boost your mood during recovery.","🎨","Positive experiences support mental health.","😊"
*,*,*,*,*,* ,"Set small, achievable goals for your recovery process.","🎯","Small wins build confidence and motivation.","🏅"
*,*,*,*,*,* ,"Prepare questions in advance for your healthcare provider.","📝","Clear communication improves care.","📢"
*,*,*,*,*,* ,"Arrange your living space for comfort and accessibility.","🏡","A supportive environment aids healing.","🛏️"
*,*,*,*,*,* ,"Schedule regular rest periods throughout your day.","🛌","Rest is essential for recovery.","😴"
*,*,*,*,*,* ,"Share your feelings with a trusted friend or counselor.","💬","Talking can relieve emotional burden.","🤗"
*,*,*,*,*,* ,"Celebrate progress, no matter how small.","🎉","Recognizing achievements boosts morale.","🌟"
*,*,*,*,*,* ,"Stay hydrated and eat balanced meals to support your body.","🥤","Good nutrition aids recovery.","🍎"
*,*,*,*,*,* ,"Limit screen time before bed to improve sleep quality.","📵","Better sleep supports healing.","🌙"
*,*,*,*,*,* ,"Use reminders or alarms to help remember important tasks.","⏲️","Staying organized reduces stress.","🗓️"
*,*,*,*,*,* ,"Ask for help with daily tasks when needed.","🙋‍♂️","Accepting help can prevent burnout.","🤝"
*,*,*,*,*,* ,"Practice gratitude by noting three positive things each day.","🙏","Gratitude can improve your outlook.","🌞"
*,*,*,*,*,* ,"Try gentle stretching or movement as tolerated.","🤸","Movement can reduce stiffness and improve mood.","💪"
*,*,*,*,*,* ,"Create a calming bedtime routine to support restful sleep.","🛁","Routine helps signal your body to relax.","😌"
*,*,*,*,*,* ,"Limit caffeine and sugar intake to avoid energy crashes.","🚫","Stable energy supports healing.","⚡"
*,*,*,*,*,* ,"Visualize positive outcomes to foster hope and resilience.","🌈","Positive thinking can aid recovery.","🦋"
*,*,*,*,*,* ,"Break large tasks into smaller, manageable steps.","🪜","Small steps make progress less overwhelming.","🧩"
*,*,*,*,*,* ,"Keep emergency contacts easily accessible.","📱","Quick access can be crucial in urgent situations.","🚨"
