Q1,Q2,Q3,Q4,Q5,Q6,Timestamp
Never,Confident,Low,Never,Supported,Very well,2025-06-08 09:00:00
Rarely,Neutral,Moderate,Occasionally,Yes,Well,2025-06-08 09:01:00
Sometimes,Anxious,High,Sometimes,No,Neutral,2025-06-08 09:02:00
Often,Very stressed,Moderate,Frequently,Supported,Poorly,2025-06-08 09:03:00
Always,Confident,Low,Always,No,Very poorly,2025-06-08 09:04:00
Never,Neutral,High,Never,Supported,Well,2025-06-08 09:05:00
Rarely,Anxious,Moderate,Occasionally,Yes,Neutral,2025-06-08 09:06:00
Sometimes,Very stressed,Low,Sometimes,No,Poorly,2025-06-08 09:07:00
Often,Confident,Moderate,Frequently,Supported,Very well,2025-06-08 09:08:00
Always,Neutral,High,Always,Yes,Well,2025-06-08 09:09:00
Never,Anxious,Low,Never,No,Neutral,2025-06-08 09:10:00
Rarely,Very stressed,Moderate,Occasionally,Supported,Poorly,2025-06-08 09:11:00
Sometimes,Confident,High,Sometimes,Yes,Very poorly,2025-06-08 09:12:00
Often,Neutral,Low,Frequently,No,Very well,2025-06-08 09:13:00
Always,Anxious,Moderate,Always,Supported,Well,2025-06-08 09:14:00
Never,Very stressed,High,Never,Yes,Neutral,2025-06-08 09:15:00
Rarely,Confident,Low,Occasionally,No,Poorly,2025-06-08 09:16:00
Sometimes,Neutral,Moderate,Sometimes,Supported,Very poorly,2025-06-08 09:17:00
Often,Anxious,High,Frequently,Yes,Very well,2025-06-08 09:18:00
Always,Very stressed,Low,Always,No,Well,2025-06-08 09:19:00
Never,Confident,Moderate,Never,Supported,Neutral,2025-06-08 09:20:00
Rarely,Neutral,High,Occasionally,Yes,Poorly,2025-06-08 09:21:00
Sometimes,Anxious,Low,Sometimes,No,Very poorly,2025-06-08 09:22:00
Often,Very stressed,Moderate,Frequently,Supported,Very well,2025-06-08 09:23:00
Always,Confident,High,Always,Yes,Well,2025-06-08 09:24:00
Never,Neutral,Low,Never,No,Neutral,2025-06-08 09:25:00
Rarely,Anxious,Moderate,Occasionally,Supported,Poorly,2025-06-08 09:26:00
Sometimes,Very stressed,High,Sometimes,Yes,Very poorly,2025-06-08 09:27:00
Often,Confident,Low,Frequently,No,Very well,2025-06-08 09:28:00
Always,Neutral,Moderate,Always,Supported,Well,2025-06-08 09:29:00
Never,Anxious,High,Never,Yes,Neutral,2025-06-08 09:30:00
Rarely,Very stressed,Low,Occasionally,No,Poorly,2025-06-08 09:31:00
Sometimes,Confident,Moderate,Sometimes,Supported,Very poorly,2025-06-08 09:32:00
Often,Neutral,High,Frequently,Yes,Very well,2025-06-08 09:33:00
Always,Anxious,Low,Always,No,Well,2025-06-08 09:34:00
Never,Very stressed,Moderate,Never,Supported,Neutral,2025-06-08 09:35:00
Rarely,Confident,High,Occasionally,Yes,Poorly,2025-06-08 09:36:00
Sometimes,Neutral,Low,Sometimes,No,Very poorly,2025-06-08 09:37:00
Often,Anxious,Moderate,Frequently,Supported,Very well,2025-06-08 09:38:00
Always,Very stressed,High,Always,Yes,Well,2025-06-08 09:39:00
Never,Confident,Low,Never,No,Neutral,2025-06-08 09:40:00
Rarely,Neutral,Moderate,Occasionally,Supported,Poorly,2025-06-08 09:41:00
Sometimes,Anxious,High,Sometimes,Yes,Very poorly,2025-06-08 09:42:00
Often,Very stressed,Low,Frequently,No,Very well,2025-06-08 09:43:00
Always,Confident,Moderate,Always,Supported,Well,2025-06-08 09:44:00
Never,Neutral,High,Never,Yes,Neutral,2025-06-08 09:45:00
Rarely,Anxious,Low,Occasionally,No,Poorly,2025-06-08 09:46:00
Sometimes,Very stressed,Moderate,Sometimes,Supported,Very poorly,2025-06-08 09:47:00
Often,Confident,High,Frequently,Yes,Very well,2025-06-08 09:48:00
Always,Neutral,Low,Always,No,Well,2025-06-08 09:49:00
Never,Anxious,Moderate,Never,Supported,Neutral,2025-06-08 09:50:00
Rarely,Very stressed,High,Occasionally,Yes,Poorly,2025-06-08 09:51:00
Sometimes,Confident,Low,Sometimes,No,Very poorly,2025-06-08 09:52:00
Often,Neutral,Moderate,Frequently,Supported,Very well,2025-06-08 09:53:00
Always,Anxious,High,Always,Yes,Well,2025-06-08 09:54:00
Never,Very stressed,Low,Never,No,Neutral,2025-06-08 09:55:00
Rarely,Confident,Moderate,Occasionally,Supported,Poorly,2025-06-08 09:56:00
Sometimes,Neutral,High,Sometimes,Yes,Very poorly,2025-06-08 09:57:00
Often,Anxious,Low,Frequently,No,Very well,2025-06-08 09:58:00
Always,Very stressed,Moderate,Always,Supported,Well,2025-06-08 09:59:00
Never,Confident,High,Never,Yes,Neutral,2025-06-08 10:00:00
Rarely,Neutral,Low,Occasionally,No,Poorly,2025-06-08 10:01:00
Sometimes,Anxious,Moderate,Sometimes,Supported,Very poorly,2025-06-08 10:02:00
Often,Very stressed,High,Frequently,Yes,Very well,2025-06-08 10:03:00
Always,Confident,Low,Always,No,Well,2025-06-08 10:04:00
Never,Neutral,Moderate,Never,Supported,Neutral,2025-06-08 10:05:00
Rarely,Anxious,High,Occasionally,Yes,Poorly,2025-06-08 10:06:00
Sometimes,Very stressed,Low,Sometimes,No,Very poorly,2025-06-08 10:07:00
Often,Confident,Moderate,Frequently,Supported,Very well,2025-06-08 10:08:00
Always,Neutral,High,Always,Yes,Well,2025-06-08 10:09:00
Never,Anxious,Low,Never,No,Neutral,2025-06-08 10:10:00
Rarely,Very stressed,Moderate,Occasionally,Supported,Poorly,2025-06-08 10:11:00
Sometimes,Confident,High,Sometimes,Yes,Very poorly,2025-06-08 10:12:00
